83,Paisley Ortiz,O-,25,1900,0126732047,1741681862
84,Xavier Sullivan,A-,27,7800,0183968646,1741681873
85,Naomi Bell,B-,30,7400,0170889935,1741681884
86,Robert Griffin,A+,63,7000,0134492979,1741681895
87,Josephine Bailey,B+,34,3500,0114457238,1741681906
88,Dominic Rogers,B+,35,7800,0174419047,1741681917
89,Caroline Carter,AB+,19,3800,0122668671,1742063739
90,Cooper James,O-,50,7000,0138557620,1741681939
91,Samantha Coleman,A-,55,1900,0170795321,1741681950
92,Ethan Murphy,A+,62,2200,0146566932,1741681961
93,Genesis Reed,B-,27,3500,0171863291,1741681972
94,Jonathan Cook,O+,28,7800,0124891724,1741681983
95,Savannah Morgan,O+,36,2200,0178382164,1741681994
96,Gavin Bell,O+,45,4000,0117591632,1741682005
97,Luna Ward,O+,46,6600,0167876407,1741682016
98,Carson Cooper,O+,48,1400,0134875432,1741682027
99,Daniela Howard,A+,30,7000,0131975472,1741611778
100,Maxwell Stewart,B-,37,5400,0118886087,1741682038
101,Josh Smith,AB-,61,6000,0134416850,1741619987
102,Carl Smith,AB-,61,6000,1741619987,1741682049
103,Smith Smith,O-,61,6000,0134486550,1741618698
104,Butler Smith,O-,61,6000,0138416550,1741612699
105,Noah Smith,A-,61,6000,0134816550,1742055813
106,Tasnif Emran,O+,22,1230,01636362669,1742064299
107,Tasnif,O+,19,1230,01636362669,1742135092
